reload2026-04-23 14:48:32 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:40 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:40 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:40 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:40 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:41 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:41 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:41 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:41 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:41 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:41 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:42 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:42 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:42 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:42 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:42 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:42 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:42 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
2026-04-23 14:49:42 | assistant_overlay_protect_enabled | mode=WDA_EXCLUDEFROMCAPTURE
